,Route,Year,PointID,grouse1,grouse2,grouse3,elev,fc,doy.1,doy.2,doy.3
322,172,2021,172_3,0,0,0,936.4465836,84.42028986,52,104,136
323,172,2020,172_4,0,0,0,949.4143231,83.39416058,86,107,135
324,172,2021,172_4,0,0,0,949.4143231,83.39416058,52,104,136
325,172,2020,172_5,0,0,0,941.3082098,83.26086957,86,107,135
326,172,2021,172_5,0,0,0,941.3082098,83.26086957,52,104,136
327,172,2020,172_6,0,0,0,950.9477927,83.86861314,86,107,135
328,172,2021,172_6,0,0,0,950.9477927,83.86861314,52,104,136
329,172,2020,172_7,0,0,0,962.0026705,84.7826087,86,107,135
330,172,2021,172_7,0,0,0,962.0026705,84.7826087,52,104,136
331,172,2020,172_8,0,0,0,941.7284357,83.23529412,86,107,135
332,172,2021,172_8,0,1,0,941.7284357,83.23529412,80,104,136
333,172,2020,172_9,0,0,0,950.4281984,84.85294118,86,107,135
334,172,2021,172_9,0,0,0,950.4281984,84.85294118,52,104,136
335,182,2020,182_1,0,0,0,467.2035341,36.01449275,80,101,127
336,182,2021,182_1,0,0,0,467.2035341,36.01449275,63,92,109
337,182,2020,182_2,0,0,0,453.3768093,35.80882353,80,101,127
338,182,2021,182_2,0,0,0,453.3768093,35.80882353,63,92,109
339,182,2020,182_3,0,0,0,421.730996,22.77372263,80,101,127
340,182,2021,182_3,0,0,0,421.730996,22.77372263,63,92,109
341,182,2020,182_4,0,0,0,419.1690696,26.65441176,80,101,127
342,182,2021,182_4,0,0,0,419.1690696,26.65441176,63,92,109
343,182,2020,182_5,0,0,0,437.4492748,23.67647059,80,101,127
344,182,2021,182_5,0,0,0,437.4492748,23.67647059,63,92,109
345,182,2020,182_6,0,0,0,471.5857732,45,80,101,127
346,182,2021,182_6,0,0,0,471.5857732,45,63,92,109
347,182,2020,182_7,0,0,0,477.4268917,65.60714286,80,101,127
348,182,2021,182_7,0,0,0,477.4268917,65.60714286,63,92,109
349,182,2020,182_8,0,0,0,496.3107753,53.76811594,80,101,127
350,182,2021,182_8,0,0,0,496.3107753,53.76811594,63,92,109
351,182,2020,182_9,0,0,0,550.4685797,65.84558824,80,101,127
352,182,2021,182_9,0,0,0,550.4685797,65.84558824,63,92,109
353,183,2020,183_1,0,0,0,478.9694842,64.11764706,82,102,128
354,183,2021,183_1,0,0,0,478.9694842,64.11764706,64,91,109
355,183,2020,183_2,0,0,0,451.2264189,60.07352941,82,102,128
356,183,2021,183_2,0,0,0,451.2264189,60.07352941,64,91,109
357,183,2020,183_3,0,0,0,445.1794142,60.14705882,82,102,128
358,183,2021,183_3,0,0,0,445.1794142,60.14705882,64,91,109
359,183,2020,183_4,0,0,0,448.2695196,65.03546099,82,102,128
360,183,2021,183_4,0,0,0,448.2695196,65.03546099,64,91,109
361,183,2020,183_5,0,0,0,447.2217259,56.60714286,82,102,128
362,183,2021,183_5,0,0,0,447.2217259,56.60714286,64,91,109
363,183,2020,183_6,0,0,0,425.6121131,23.06569343,82,102,128
364,183,2021,183_6,0,0,0,425.6121131,23.06569343,64,91,109
365,183,2020,183_7,0,0,0,429.0692979,41.63043478,82,102,128
366,183,2021,183_7,0,0,0,429.0692979,41.63043478,64,91,109
367,183,2020,183_8,0,0,0,439.9964373,55.67857143,82,102,128
368,183,2021,183_8,0,0,0,439.9964373,55.67857143,64,91,109
369,184,2020,184_1,0,0,0,420.63214,71.52173913,85,105,129
370,184,2021,184_1,0,0,0,420.63214,71.52173913,65,87,107
371,184,2020,184_10,0,0,0,445.2728857,70.91240876,85,105,129
372,184,2021,184_10,0,0,0,445.2728857,70.91240876,65,87,107
373,184,2020,184_2,0,0,0,461.7297871,55.47445255,85,105,129
374,184,2021,184_2,0,0,0,461.7297871,55.47445255,65,87,107
375,184,2020,184_3,0,0,0,463.3790024,18.76811594,85,105,129
376,184,2021,184_3,0,0,0,463.3790024,18.76811594,65,87,107
377,184,2020,184_4,0,0,0,471.5209393,16.83823529,85,105,129
378,184,2021,184_4,0,0,0,471.5209393,16.83823529,65,87,107
379,184,2020,184_5,0,0,0,467.5711554,45.40145985,85,105,129
380,184,2021,184_5,0,0,0,467.5711554,45.40145985,65,87,107
381,184,2020,184_6,0,0,0,464.2115869,47.91366906,85,105,129
382,184,2021,184_6,0,0,0,464.2115869,47.91366906,65,87,107
383,184,2020,184_7,0,0,0,466.2697256,51.17647059,85,105,129
384,184,2021,184_7,0,0,0,466.2697256,51.17647059,65,87,107
385,184,2020,184_8,0,0,0,463.1060873,74.0942029,85,105,129
386,184,2021,184_8,0,0,0,463.1060873,74.0942029,65,87,107
387,184,2020,184_9,0,0,0,452.1639496,62.96428571,85,105,129
388,184,2021,184_9,0,0,0,452.1639496,62.96428571,65,87,107
389,19,2020,19_1,0,0,0,693.9931318,28.33333333,75,99,124
390,19,2021,19_1,0,0,0,693.9931318,28.33333333,76,96,111
391,19,2020,19_2,0,0,0,692.3640289,48.08823529,75,99,124
392,19,2021,19_2,0,0,0,692.3640289,48.08823529,76,96,111
393,19,2020,19_3,0,0,0,661.4289672,22.68382353,75,99,124
